campaign_id,customer_id,Coupon_redeem,Item_purchased
1,1,40,341.00
,2,3,249.00
,3,53,338.00
,4,1,115.00
,5,1,352.00
,6,3,205.00
,7,7,445.00
,8,105,507.00
,9,4,236.00
,10,,220.00
,11,9,220.00
,12,24,303.00
,13,,562.00
,14,23,224.00
,15,20,317.00
,16,,256.00
,17,2,175.00
,18,,205.00
,19,3,241.00
,20,,155.00
,21,1,241.00
,22,63,129.00
,23,1,278.00
,24,,194.00
,25,,54.00
,26,1,76.00
,27,6,657.00
,28,2,720.00
,29,,136.00
,30,14,139.00
,31,4,133.00
,32,,99.00
,33,,416.00
,34,,137.00
,35,,68.00
,36,2,383.00
,37,1,188.00
,38,1,436.00
,39,,98.00
,40,25,418.00
,41,2,248.00
,42,44,591.00
,43,1,175.00
,44,,164.00
,45,79,499.00
,46,10,394.00
,47,,534.00
,48,7,133.00
,49,2,506.00
,50,,228.00
,51,5,185.00
,52,16,623.00
,53,,134.00
,54,14,238.00
,55,4,229.00
,56,1,707.00
,57,,158.00
,58,2,452.00
,59,,309.00
,60,24,954.00
,61,,160.00
,62,,168.00
,63,49,340.00
,64,6,509.00
,65,,183.00
,66,1,456.00
,67,,160.00
,68,8,676.00
,69,1,182.00
,70,,96.00
,71,34,349.00
,72,12,627.00
,73,1,337.00
,74,,301.00
,75,1,410.00
,76,14,269.00
,77,,62.00
,78,35,905.00
,79,,322.00
,80,1,508.00
,81,2,64.00
,82,11,336.00
,83,,257.00
,84,1,144.00
,85,2,252.00
,86,1,347.00
,87,,272.00
,88,30,637.00
,89,25,215.00
,90,6,666.00
,91,,261.00
,92,5,259.00
,93,2,476.00
,94,,235.00
,95,10,210.00
,96,4,219.00
,97,4,142.00
,98,1,244.00
,99,,167.00
,100,30,552.00
,101,,236.00
,102,1,149.00
,103,,596.00
,104,14,183.00
,105,2,168.00
,106,9,643.00
,107,1,324.00
,108,58,99.00
,109,,126.00
,110,1,206.00
,111,,201.00
,112,4,381.00
,113,3,186.00
,114,,100.00
,115,,77.00
,116,,258.00
,117,1,162.00
,118,,181.00
,119,5,282.00
,120,1,161.00
,121,,131.00
,122,,296.00
,123,9,250.00
,124,1,233.00
,125,,226.00
,126,,383.00
,127,11,505.00
,128,9,1006.00
,129,,76.00
,130,,96.00
,131,39,215.00
,132,18,358.00
,133,3,310.00
,134,,176.00
,135,4,412.00
,136,1,183.00
,137,3,184.00
,138,1,136.00
,139,2,170.00
,140,,503.00
,141,,545.00
,142,2,231.00
,143,,235.00
,144,1,545.00
,145,,282.00
,146,,201.00
,147,2,179.00
,148,1,219.00
,149,1,436.00
,150,20,1189.00
,151,5,795.00
,152,12,276.00
,153,39,481.00
,154,5,480.00
,155,8,428.00
,156,,104.00
,157,,105.00
,158,98,738.00
,159,6,152.00
,160,1,246.00
,161,55,993.00
,162,45,529.00
,163,,236.00
,164,40,434.00
,165,1,124.00
,166,4,527.00
,167,7,361.00
,168,,232.00
,169,1,195.00
,170,2,258.00
,171,,66.00
,172,,156.00
,173,1,262.00
,174,1,359.00
,175,,234.00
,176,16,107.00
,177,,126.00
,178,4,122.00
,179,17,290.00
,180,,268.00
,181,3,353.00
,182,,60.00
,183,1,304.00
,184,,285.00
,185,,354.00
,186,,298.00
,187,,122.00
,188,1,335.00
,189,15,449.00
,190,1,238.00
,191,3,616.00
,192,3,382.00
,193,,186.00
,194,1,287.00
,195,,781.00
,196,9,224.00
,197,58,399.00
,198,,115.00
,199,,114.00
,200,19,259.00
,201,,244.00
,202,38,474.00
,203,,117.00
,204,1,377.00
,205,55,362.00
,206,1,337.00
,207,4,622.00
,208,6,954.00
,209,,245.00
,210,,22.00
,211,1,138.00
,212,1,488.00
,213,,167.00
,214,27,560.00
,215,,193.00
,216,1,142.00
,217,1,84.00
,218,,113.00
,219,2,235.00
,220,2,249.00
,221,,125.00
,222,,495.00
,223,,150.00
,224,,61.00
,225,,193.00
,226,2,339.00
,227,,256.00
,228,2,764.00
,229,2,166.00
,230,4,747.00
,231,7,771.00
,232,1,258.00
,233,2,372.00
,234,3,392.00
,235,129,558.00
,236,1,144.00
,237,,81.00
,238,6,249.00
,239,9,925.00
,240,6,449.00
,241,,373.00
,242,,314.00
,243,12,366.00
,244,1,450.00
,245,4,347.00
,246,11,276.00
,247,,233.00
,248,20,457.00
,249,18,384.00
,250,44,794.00
,251,,162.00
,252,,13.00
,253,1,530.00
,254,2,460.00
,255,,132.00
,256,3,88.00
,257,3,457.00
,258,1,296.00
,259,4,979.00
,260,,133.00
,261,4,64.00
,262,1,476.00
,263,,232.00
,264,1,224.00
,265,49,445.00
,266,1,104.00
,267,1,288.00
,268,6,251.00
,269,1,243.00
,270,,249.00
,271,1,314.00
,272,3,156.00
,273,,417.00
,274,53,544.00
,275,2,473.00
,276,19,413.00
,277,2,460.00
,278,3,98.00
,279,2,241.00
,280,,130.00
,281,,323.00
,282,,218.00
,283,33,501.00
,284,4,36.00
,285,,68.00
,286,,110.00
,287,,188.00
,288,5,130.00
,289,1,236.00
,290,,192.00
,291,,111.00
,292,,131.00
,293,9,628.00
,294,8,495.00
,295,7,163.00
,296,3,74.00
,297,3,92.00
,298,2,181.00
,299,4,220.00
,300,79,348.00
,301,1,250.00
,302,7,377.00
,303,53,648.00
,304,,135.00
,305,10,787.00
,306,,223.00
,307,3,208.00
,308,1,167.00
,309,4,271.00
,310,7,463.00
,311,2,326.00
,312,,223.00
,313,2,187.00
,314,,260.00
,315,6,312.00
,316,1,365.00
,317,122,418.00
,318,,360.00
,319,26,451.00
,320,27,314.00
,321,1,240.00
,322,,10.00
,323,,326.00
,324,,497.00
,325,1,198.00
,326,,136.00
,327,10,736.00
,328,7,285.00
,329,12,443.00
,330,,133.00
,331,,156.00
,332,1,398.00
,333,10,186.00
,334,12,153.00
,335,3,231.00
,336,12,168.00
,337,3,269.00
,338,3,324.00
,339,,174.00
,340,,245.00
,341,,191.00
,342,1,290.00
,343,,200.00
,344,3,315.00
,345,,228.00
,346,,246.00
,347,,97.00
,348,,294.00
,349,,112.00
,350,1,246.00
,351,5,305.00
,352,3,178.00
,353,1,482.00
,354,1,204.00
,355,1,563.00
,356,,261.00
,357,1,666.00
,358,,207.00
,359,3,292.00
,360,2,218.00
,361,,137.00
,362,,404.00
,363,5,577.00
,364,1,85.00
,365,,231.00
,366,3,293.00
,367,142,419.00
,368,2,821.00
,369,,408.00
,370,10,442.00
,371,,216.00
,372,1,79.00
,373,,214.00
,374,1,386.00
,375,,248.00
,376,1,120.00
,377,2,377.00
,378,28,624.00
,379,12,808.00
,380,2,283.00
,381,,245.00
,382,,158.00
,383,1,451.00
,384,4,203.00
,385,40,242.00
,386,,402.00
,387,,541.00
,388,,155.00
,389,14,327.00
,390,,286.00
,391,14,595.00
,392,4,315.00
,393,6,104.00
,394,1,219.00
,395,3,156.00
,396,3,345.00
,397,1,122.00
,398,3,177.00
,399,5,330.00
,400,2,439.00
,401,34,327.00
,402,3,466.00
,403,29,355.00
,404,39,424.00
,405,,225.00
,406,,26.00
,407,2,487.00
,408,1,227.00
,409,4,373.00
,410,,26.00
,411,3,413.00
,412,10,850.00
,413,,280.00
,414,5,373.00
,415,1,249.00
,416,10,341.00
,417,1,262.00
,418,1,776.00
,419,2,296.00
,420,1,343.00
,421,6,514.00
,422,,317.00
,423,2,76.00
,424,10,286.00
,425,1,61.00
,426,2,549.00
,427,25,407.00
,428,9,253.00
,429,2,274.00
,430,1,290.00
,431,12,196.00
,432,,502.00
,433,20,418.00
,434,1,324.00
,435,5,178.00
,436,6,288.00
,437,,315.00
,438,2,353.00
,439,11,208.00
,440,,211.00
,441,4,291.00
,442,,292.00
,443,3,185.00
,444,3,540.00
,445,,160.00
,446,2,362.00
,447,5,706.00
,448,,317.00
,449,2,167.00
,450,8,537.00
,451,2,261.00
,452,3,288.00
,453,,441.00
,454,,129.00
,455,,281.00
,456,3,781.00
,457,,262.00
,458,3,513.00
,459,6,390.00
,460,14,677.00
,461,9,219.00
,462,10,282.00
,463,18,136.00
,464,160,1457.00
,465,,67.00
,466,19,416.00
,467,,378.00
,468,,116.00
,469,1,413.00
,470,2,669.00
,471,,217.00
,472,,58.00
,473,1,287.00
,474,8,345.00
,475,5,135.00
,476,,101.00
,477,,166.00
,478,1,390.00
,479,2,486.00
,480,,226.00
,481,23,513.00
,482,,175.00
,483,17,268.00
,484,1,591.00
,485,1,95.00
,486,1,191.00
,487,,157.00
,488,,406.00
,489,1,104.00
,490,3,312.00
,491,4,181.00
